Course ID,Course Name,Description,Terms Offered,Equivalent Courses,Instructors,Prerequisites
ANTH 21201,Chicago Blues.  100 Units.,"This course is an anthropological and historical exploration of one of the most original and influential American musical genres in its social and cultural context. We examine transformations in the cultural meaning of the blues and its place within broader American cultural currents, the social and economic situation of blues musicians, and the political economy of blues within the wider music industry.",Autumn,CHST 21201,Michael Dietler,None
ANTH 21303,Making the Natural World: Foundations of Human Ecology.  100 Units.,"What's natural about nature? Humans have ""made"" the natural world both materially, through millennia of direct action in and on the landscape, and conceptually, through the creation of various ideas about nature, ecosystem, organism, and ecology. In this course we will consider how the conceptual underpinnings of contemporary Western notions of nature, environment, balance, power and race are intertwined. We will trace this trajectory using the lens of the historical development of the field of ecology, then broaden our view to consider worldviews and ontologies about the environment from non-Western cultures. How then do these worldviews influence attitudes and policies towards land, environment, and its stewardship? Taking examples from current environmental topics (e.g. land rights, environmental justice, park access, conservation, extinction) we will evaluate the extent and character of human entanglement with the environment. Throughout the course student voices will be prominent in the many discussion-based class sessions.",Winter. Winter,"CEGU 21301, ENST 21301",Christopher Kindell,None
ANTH 21306,Explorations in Oral Narrative.  100 Units.,"A study of storytelling in non-literate and folk societies, antecedent to the complexities of modern narrativity, itself anchored in and energized by literacy. The main objects of our study will be the vast body of folktales and collateral folklore collected by anthropologists and folklorists in traditional societies. Despite the impact of literacy on modern minds this course argues for the persistence of ancient themes, plots, characters and motifs.. A further argument is made for the foundational role of storytelling in the creation of culture and construction of society …an argument, in short, that humans are, by nature, story-telling creatures whose sapience lies primarily in the capacity to create, be entertained by, and even live by, fictions  The central place of storytelling is shown in the humanistic and social sciences: anthropology, economics, history, philosophy, politics, psychoanalysis. Student story-telling and even performance, of brief stories is encouraged and reflected upon  in light of the main arguments of the course.",Not specified,ANTH 45301,N/A,None
ANTH 21405,"Neoliberalism, Self and Society.  100 Units.","Drawing on ethnography and cultural theory, this course examines the profound impact of neoliberal ideology on the everyday lives of individuals and communities across the globe. We will explore the ways neoliberalism, the idea that the mechanisms of free markets naturally precipitate economic growth and thus societal progress, shapes institutions, social norms, and, most importantly, individuals' understandings of themselves and others. Students will analyze the penetration of market logics into spheres of social life far beyond what used to be understood as ""the marketplace,"" such as education, politics and governance, healthcare, and the family. They will reflect on the effects of market logics on lived realities, both in material and ideological terms. As unfettered global markets produce growing inequality and insecurity, neoliberal tenets valorizing competition and productivity tell those who suffer from and witness such negative effects that they are unavoidable; the result of some people working harder and being better than others. This course will question neoliberalism's normative assumptions, drawing on ethnographic accounts of contemporary life in various regions and contexts across the globe. Students will end the course with an understanding of neoliberalism as an ideology and the ability to engage in discussions on neoliberalism that have emerged recently in the qualitative social sciences.",Winter,"ANTH 31405, MAPS 31405","Gross, Tori",None
ANTH 21420,Ethnographic Methods.  100 Units.,"This course introduces students to the theory and practice of ethnographic methods. In the class, we will consider the ways ethnography works as both a mode of inquiry and a form of knowledge production. We will examine the kinds of questions anthropologists ask, as well as the relationship between research questions, methodological approaches, data analysis, and knowledge. We will examine the ways scholars marshal evidence to address their questions, and practically, how they arrive at that evidence. We will study different components of ethnographic fieldwork, such as participant observation, interviewing, photography, object analysis, archival work, digital methods, and qualitative surveys. In so doing, we will engage with the complexities surrounding ethnographic research, including how one negotiates access during fieldwork, the racialized and gendered subjectivities that inhere in fieldwork, the ethics of knowledge production, and the politics of representation. The class entails both critical engagement with scholarship, and practical exercises. The goal is to give students practical, theoretically grounded insights into fieldwork in order to help them understand how to develop and carry out a research project.",Not specified,None,N/A,"Priority to Anthro Majors, Priority to Junior/Senior Standing"
ANTH 21424,Reading and Writing Ethnographically.  100 Units.,"Ethnographic renderings of spaces, surroundings, place, setting, and location have clearly always functioned as more than narrative set dressing. Critical perspectives on ethnographic research and writing have pointed out the authorization, exotification, and material conditions of mobility that undergird the 'where' in 'being there'. However, contemporary anthropologists are writing space and place in ways that push ethnographic methods and writing past prior problematics and paradigms of comparison, localization, and totalizing description. How does space become an ethnographic doorway into questions of history, power, infrastructure, and affect?",Not specified,None,Kamala Russell,None
ANTH 21426,More than Human Ethnography.  100 Units.,"In this course we explore the fields of more-than-human and 'multispecies' ethnography. We examine theoretical antecedents promoting the inclusion of non-human actors in ethnographic analysis and read examples of such work, including foundational texts on interspecies engagements, exploitations, and dependencies by Anna Tsing, Eduardo Kohn, Deborah Bird Rose, and Juno Parreñas among many others. We consider the role other species and 'actants' played in early social science and contemplate recent studies of ""becoming with"" animals, plants, fungi, bacteria-encountering complex ecological relationships, examining naturalcultural borders, and querying the role of decolonial thought and queer ecologies in the 'more-than' turn. Multispecies and posthumanist approaches encourage a decentering of traditional method; we will couple ethnographic examples with literature by biologists, physicists, and philosophers. The is a discussion-based seminar with significant time devoted to the logistical aspects of 'more than' work-to querying how such studies have been conducted in practice.",Spring,"ANTH 33807, GNSE 31404, GNSE 21404, MAPS 31404","Wilhoit, Mary",None
ANTH 21740,Ecology and Governance in Israel and the Middle East.  100 Units.,"Ecological governance has emerged as an aspirational concept in recent years in political science, philosophy, and anthropology in response to concerns over the increasing likelihood of an unprecedented global ecological crisis as a result of human driven climate change. This course will trace the conceptual genealogy of ecological governance in Western and Eastern political theory and environmental history as it explores the political ecologies of Israel and the Middle East. In so doing, the course embarks from the assertion that environmental justice and the struggle for justice overall are inseparable challenges. Of central concern will be to understand how Israel's politics, culture, and history technological development together with its particular environmental conditions provide conceptual and methodological interventions into current and historical articulations of ecological governance.
Note: Enrollment in this class is by consent only. Please request via the enrollment site.",Not specified,CEGU 21740,N/A,None
ANTH 22111,Black Death.  100 Units.,"Karla FC Holloway proposes the concept of ""black death,"" arguing that ""African Americans' particular vulnerability to an untimely death in the United States intimately affects how black culture both represents itself and is represented."" Whether attributable to Holloway or not, the term 'Black death' circulates in scholarship, popular media, and political discourses arguably because it apprehends a commonsensical, albeit unfortunate, understanding of the relationship between death and Black people. This seminar-style course surveys death as an object of inquiry, metaphor, political occasion, and inspiration for aesthetic creation. The course is primarily Black Studies in its frameworks and subject matter- reading texts and other materials across disciplines, genres, and media. The course recognizes that the threads of race and death are inherently global and connected to European colonial imperial expansion, racism, capitalism, and modernity. Throughout the course we ask: What is the relationship between Black people or blackness and death? Is ""Black death"" unique? How do we take seriously ubiquitous legacies of violence while also accounting for socio-historical specificity? What are the attendant practices, creations, and modes of thinking and being associated with Black death? At the end of the course, students will have honed skills in close reading, critical thinking, and thoughtful discussion through the study of race and death.",Spring,CRES 22111,LaShaya Howie,None
ANTH 22131,"The Science, History, Policy, and Future of Water.  100 Units.","Water is shockingly bizarre in its properties and of unsurpassed importance throughout human history, yet so mundane as to often be invisible in our daily lives. In this course, we will traverse diverse perspectives on water. The journey begins with an exploration of the mysteries of water's properties on the molecular level, zooming out through its central role at biological and geological scales. Next, we travel through the history of human civilization, highlighting the fundamental part water has played throughout, including the complexities of water policy, privatization, and pricing in today's world. Attention then turns to technology and innovation, emphasizing the daunting challenges dictated by increasing water stress and a changing climate as well as the enticing opportunities to achieve a secure global water future.",Winter,"MENG 20300, GLST 26807, ENST 20300, HIPS 20301, HIST 25426",Seth Darling,None
ANTH 22165,Politics of Technoscience in Africa.  100 Units.,"Euro-American discourse has often portrayed Africa as either a place without science and technology or as the home of deep and ancient wisdom. European imperialists used the alleged absence of science and technology as a justification for colonialism while pharmaceutical companies sought out African knowledge about healing plants. In addition to their practical applications, science and technology carry significant symbolic weight in discussions about Africa. In this class, we examine the politics of scientific and technical knowledge in Africa with a focus on colonialism and its aftermath. How have different people produced and used knowledge about the environment, medicine, and technology? What kinds of knowledge count as indigenous and who gets credit for innovation? How have independent African governments dealt with the imperial legacies of science? From the interpretation of archaeological ruins to the design of new medical technologies, this class will examine science and technology as political practice in Africa.",Not specified,"KNOW 21410, HIPS 21410, CRES 21410",N/A,None
ANTH 22202,Anthropology of Caste.  100 Units.,"This seminar course explores anthropological approaches to caste. We will survey colonial ethnological accounts to structuralist, transactionalist, historical anthropological, and contemporary ethnographic accounts of forms of caste difference, identity, and violence in South and East Asia, with an eye to comparison to other forms of invidious social difference in other times and cultures.",Not specified,"SALC 32202, SALC 22202, ANTH 32202, CRES 21202",N/A,None
ANTH 22367,Landscapes: More than Humans Living on a Damaged Planet.  100 Units.,"This is a reboot of a course on theories of space and place (ANTH 28510), but with newfound attention to 1) the interleaving of human/nonhuman life and non-life in the making of place, and 2) the undoing of landscape arrangements created by capitalist exploitation, environmental devastation, ecological racism...",Not specified,None,N/A,Instructor Consent
ANTH 22415,Technology and the Human.  100 Units.,"Technology is ubiquitous in contemporary life. Yet technological developments continue to infatuate and inspire in us feelings of excitement, hope and fear. How are we to understand the uncanny relationship between the human and technology? What does this relationship disclose about human agency and creativity? If human life is unimaginable without tools, artifacts, memory supports, and machines, how might we gain the critical distance necessary to properly assess the human-technical relation?
In this course we will open up an inquiry into the question of technology by considering the ways in which technical objects, processes, and systems interrupt, challenge, and constitute human subjectivity. Readings will include texts by Martin Heidegger, Friedrich Kittler, Bernard Stiegler, Gilbert Simondon, Katherine Hayles and others.",Autumn,RLST 27802,Sara-Jo Swiatek,None
ANTH 22450,"Language, Gender, and Sexuality.  100 Units.","This course focuses on the relationship, in theory and in practice, between language, gender, and sexuality. We begin with a brief overview of the field and some of its major theoretical developments. Then we expand on themes of desire and identity; binaries and normativities; embodiment; ""interstices""; and performativity. The practical component of the course includes critical analysis of language used to construct gender and sexuality (e.g. in drag shows, communities you belong to personally, social media, and current events). We also consider binary language reform, abolition of linguistic gender systems, and emergence of identity categories as practices of everyday relationality that contest hegemonic systems. Readings are interdisciplinary and draw from fields including Linguistics, Anthropology, Performance Studies, Literary Studies, and Queer Studies.",Spring,"GNSE 20119, LING 22450",Tulio Bermúdez,None
ANTH 22531,Visual Anthropology: An Introduction to Ethnography as Film.  100 Units.,"This seminar introduces students to Visual Anthropology through a survey of film as an instrument and object of ethnographic practice. Specifically, it explores ethnographic film as a genre for representing ""reality,"" anthropological knowledge and distinct cultural lives. We will examine how ethnographic film and its proto-cinematic precedents (e.g., the panorama, the magic lantern) emerged in particular intellectual and political economic contexts as well as how subsequent conceptual and formal innovations in audiovisual production, including recent digital transformations, have shaped the genre. We will also consider social responses to ethnographic film in terms of 1) the contexts for producing and circulating these works, 2) the ethical and political concerns raised by cross-cultural representation and 3) the development of indigenous media and other practices in conversation with ethnographic film. Throughout the course, we will situate Visual Anthropology within the larger anthropological project for representing ""culture,"" addressing the status of ethnographic film in relation to other documentary practices including written ethnography, museum exhibitions, photography, documentary film, graphic illustrations (""manga"" ethnography), and new digital forms of engagement (Web 2.0, interactive gaming, augmented & virtual reality). Besides film screenings and writing exercises, students will have an opportunity to develop and ""pitch"" their own original Visual Anthro project.",Not specified,ANTH 32531,N/A,None
ANTH 22547,"Violence: Vigilantism, Community Defense, and Armed Resistance.  100 Units.","This course explores extralegal violence primarily in the US, from decolonial struggles to white mobs to self and community defense by marginalized peoples. How do we understand different forms of violence, defense, and resistance in relation to the violence of the state? What role does violence play in struggles for justice and freedom? This seminar surveys a range of social science approaches to these questions. In addition to reading the work of anthropologists, historians, and philosophers, we will also take up these themes as they appear in popular media and current events.",Spring,"CRES 22900, HIST 27907, RDIN 20900, RDIN 30900, ANTH 32547",Maya Singhal,None
ANTH 22625,Indigenous Movements in Latin America.  100 Units.,TBD,Not specified,None,Mareike Winchell,None
ANTH 22710,Signs and the State.  100 Units.,"Relations of communication, as well as coercion, are central though less visible in Weber's famous definition of the state as monopoly of legitimate violence. This
course reconsiders the history of the state in connection to the history of signs.
Thematic topics (and specific things and sites discussed) include changing semiotic technologies; means; forces and relations of communication (writing, archives, monasteries, books, ""the"" internet); and specific states (in early historic India and China, early colonial/revolutionary Europe, especially France, Britain, and Atlantic colonies, and selected postcolonial ""new nations"").",Not specified,ANTH 41810,N/A,None
ANTH 22712,Socialisms in Asia.  100 Units.,"Western ideas about ""actually existing"" socialism are dominated by the failures and tyranny of the Soviet bloc.  But decolonizing Asia may have a different story to tell.  Tracking revolutionary information technology, new statistical and social sciences, and cybernetic techniques for governance entering into Asia in the era of decolonization, partitions and the Bandung Conference, this course reconsiders plural possible socialisms, not based on earlier European histories in which the ends exceeded the means, but on later Asian histories.  These are not so much histories of self-determination and worldmaking, as scientific and social, self and world refashioning.  This course is intended to be of interest to any student interested in the applying techniques of science and technology studies to the history of social science, interested in the history of applied science outside the west, and/or in Asian decolonization, and/or in the past, present, and future of socialism.",Not specified,ANTH 41812,N/A,None
ANTH 22727,Captivity.  100 Units.,"The premise for this course is that anthropology, as well as other domains of social inquiry, have unacknowledged and unredeemed debts to captivity as structure, experience, and event, from the penal colony to the slave plantation. This course is an attempt to begin to think about those debts through readings in anthropology, history, and philosophy.",Not specified,LLSO 29703,N/A,None
ANTH 22733,"Marxism, Anarchism, and the Black Radical Tradition.  100 Units.","This course serves as an introduction to Black Radical Tradition as an insurgent political formation and intellectual practice. While many genealogies of Black Studies depart from the formal institutionalization of Black Studies departments and programs in the latter half of the 20th Century, this course is differently attuned to the dialectic of Black thought and Black insurgency in which the latter-what C.L.R. James describes as a history of Pan-African revolt against the plantation and its afterlives-is always a precondition of the former. As a critical survey of said histories and the ideas derived from them, this course will examine the relationship between knowledge production (theory) and material struggle (praxis) in the Black Radical Tradition alongside adjacent but distinct political traditions such as Marxism and anarchism. Born out of a protracted ""state of emergency,"" the Black Radical Tradition permits us to appraise, critique, and confront the alarms raised by the COVID-19 pandemic and global climate collapse alongside settler colonialism and plantation slavery in the longue duree. To this end, students will consult non-fiction, literature, art, and film from authors and creators such as James, Audre Lorde, Lizzie Borden, W.E.B. Du Bois, Josina Machel, Kimathi Mohammed, and Lorenzo Ervin.",Not specified,CRES 21733,N/A,None
ANTH 22750,"Theoretical Approaches to Political Anthropology: Sovereignty, Authority, and Refusal.  100 Units.","This course will explore understandings of power and its production articulated by ethnographers and political theorists whose work has been influential in anthropology. We will focus on competing claims to sovereignty and authority that reveal the tentative, emergent, and contingent nature of power. Spanning various regions, the course content will elucidate the tensions between nation-states, informal/illegal networks, and the actions and aspirations of individual subjects. Some of the questions we will raise include: What are the roles of performances, narratives, and acts of exclusion and violence in the making of sovereignty and authority? How are competing de facto and de jure forms of power negotiated in various spaces ranging from the institutional to the intimate? The centrality of both physical violence and the complacency born of naturalized political institutions and economic rationality will arise in our examinations of political mobilization and possibility. This course will give students opportunities to develop conceptual understandings of various modes of power that offer insights into the forces of colonialism, global interconnectivity, and politics that shape the 21st century world. As this is a methodology course (fulfilling the MAPSS requirement), students will spend substantial class time reflecting upon the theoretical approaches of contemporary ethnographers and developing their own theoretical approaches to their thesis projects.",Not specified,"ANTH 34725, MAPS 34513",N/A,None
ANTH 22755,The Idea of Africa.  100 Units.,"The Idea of Africa, a new interdisciplinary course, offers undergraduates students an opportunity to engage critically with key philosophical and political debates about contemporary Africa on the continent and globally. The course takes its title from V.Y. Mudimbe's 1994 book which builds on his earlier work The Invention of Africa. It asks three questions: (1) How and to what purposes has Africa been conceived as metaphor and concept. (2) How might we locate Africa as a geographic site and conceptual space to think through contemporary debates about citizenship, migration and new structures of political economy? (3) What futures and modes of futurity are articulated from the space and metaphor of Africa? This lecture course co-thought in an interdisciplinary mode will include public guest lectures, field trips, and engagement with visual arts, and film related to the themes of the course. The course will be divided into the following four sections: 1) Inventing Africa; 2) Political Trajectories; 3) Afro-Mobilities; 4) Afro-Futures.",Not specified,"PLSC 22755, CRES 23755",N/A,None
ANTH 22765,Ethnographic Approaches to Power and Resistance.  100 Units.,"This introductory graduate course will examine understandings of power articulated by influential political theorists and ethnographers. We will explore key theoretical concepts, including discipline, governmentality, sovereignty, hegemony, agency, and resistance, as well as their application within textured, intersubjective, and affectively oriented ethnographic texts. 
Seeing power grounded in tentative and unstable practices, we will focus on the tensions between nation-states, informal networks, and the actions and aspirations of individual subjects. How are attempts to consolidate power articulated in performances, narrative histories, and acts of exclusion and violence? How are competing de facto and de jure powers negotiated in various spaces ranging from the institutional to the intimate? The centrality of both physical violence and the complacency born of the naturalized hegemony of political institutions and economic rationality will arise in our examinations of political mobilization and possibility. This course will give students opportunities to develop conceptual understandings of various modes of power that offer insights into the forces of colonialism, global interconnectivity, and violence that shape the 21st century world.",Spring,"MAPS 31504, ANTH 34730",Victoria Gross,None
ANTH 22770,"Anthropology of Power, Status, and Performance.  100 Units.","This introductory graduate course examines the nature of power and status through the theoretical lens of performativity. We will engage with notions of performativity, articulated by influential theorists of linguistics, gender, and religion, that demonstrate the abilities of performances to effect change in the world. Thinking with performativity, we will interrogate practices of negotiating power and status in a broad range of social, political, and geographical contexts. How is the power made and unmade through particular acts? How is status, a particular type of power differentiation, created collectively and individually through acts of saying and doing? Such questions will animate our explorations of power and status in recent ethnographies focused on Asia, the Americas, and Europe.",Winter,"GNSE 22770, MAPS 33508, ANTH 34735",Victoria Gross,None
ANTH 22826,The Anthropology of Commodities and Consumption.  100 Units.,"What is a commodity, and what does it mean to consume one? In this discussion-based, reading- and writing-intensive seminar, we will explore ""consumption"" and the ""commodity"" as objects of anthropological analysis. Drawing from a range of global ethnographic examples, as well as from popular culture, literature, and other academic fields, we will think critically about everyday practices that are so often taken for granted. We will investigate the complex relationships that people make with everyday things and the roles they play in social life; how commodities can produce and reproduce social relationships and materialize claims about identity or status; fashion and its relationships to capitalism, gender, and appropriation; political and ecological aspects of consumption; and more. In doing so, we will attend to and practice some key approaches to doing anthropology, including ethnographic interviewing, observing, media ethnography, writing field notes, and turning them into a text. Students will write three short papers, describing the ""biography"" of an object, analyzing consumption in a popular culture ""text,"" and writing up original ethnographic data. The final project, developed through these exercises, instructor feedback, and peer workshops, will be a creative analysis of a contemporary consumption phenomenon of students' choice.",Not specified,None,Hanna Pickwell,None
ANTH 22830,Indigenous Media and the Politics of Representation.  100 Units.,"This undergraduate seminar explores popular representations of Indigenous nations and issues across various modes of media such as film, photography, digital platforms, and museum installations. With a particular focus on media forms produced by Indigenous artists, filmmakers, and curators we will analyze these narratives through frameworks of self-determination, resistance, visual sovereignty, and relational futures. Throughout the course, we will consider Indigenous media production(s) in relation to the broader social, historical, and cultural contexts in which they circulate in North America and beyond. The material covered in this course will acquaint students with an introduction to the contemporary debates surrounding Indigenous media and representation as they intersect with the larger fields of visual anthropology and Indigenous Studies.",Not specified,"CRES 23830, MAAD 12830",N/A,None
ANTH 22845,Xenophobia and the Politics of Belonging.  100 Units.,"What work does xenophobia do in the making and marking of nation-states? What does it mean to belong, in a world structured by migration? In this course, we will examine the practices and politics of exclusion, of othering and of unbelonging. Drawing on cases from North America and Sub-Saharan Africa, we will study xenophobia at different points along its spectrum of intensity - from mass atrocities to the seemingly banal ways in which othering and exclusion are baked into everyday life. We will study each case in depth in its own right, as well as how it sits within broader experiences of exclusion and violence around the world and across time. In the course, we will explore theoretical debates surrounding nativism, autochthony, and different forms of nationalism, and the ways they relate to xenophobia. Scholars of migration and belonging have long shown that collective identities are constructed in large part in relation to an external other. Does (one person's) belonging necessitate (another's) unbelonging? In this course we ask: how does the 'stranger' come to be seen as threatening or destabilizing? How does one come to be seen as a 'stranger'?",Not specified,CRES 22845,N/A,None
ANTH 23003,Greater Latin America.  100 Units.,"What is ""Latin America,"" who are ""Latin Americans"" and what is the relationship among and between places and people of the region we call Latin America, on the one hand, and the greater Latinx diaspora in the US on the other? This course explores the history of Latin America as an idea, and the cultural, social, political and economic connections among peoples on both sides of the southern and eastern borders of the United States. Students will engage multiple disciplinary perspectives in course readings and assignments and will explore Chicago as a crucial node in the geography of Greater Latin America. Some topics we will consider are: the origin of the concept of ""Latin"" America, Inter-Americanism and Pan-Americanism, transnational social movements and intellectual exchanges, migration, and racial and ethnic politics.",Course not offered in 24-25,"LACS 36386, RDIN 26386, SPAN 26386, SPAN 36386, RDIN 36386, LACS 26386, HIST 26321, CRES 26386",Diana Schwartz Francisco,None
